;PORTFOLIO BUT1;;;;;;;;;;;;;;
Le portfolio émane d'une démarche personnelle de réflexion et d'autoévaluation des compétences des étudiants;;;;;;;;;;;;;;;
Le tableau ci-dessous doit être alimenté tout au long de l'année et sera évalué en fin du S2.;;;;;;;;;;;;;;;
Traces = travail produit (compte-rendu, programme informatique, rapport, schema…);;;;;;;;;;;;;;;
Preuves = trace commentée (à partir de la trace, prouver que vous avez acquis la compétence cf onglet 2);;;;;;;;;;;;;;;
Tâches = lister une par une les tâches que vous avez effectuées pendant le projet et cocher la/les compétences associées en vous référant aux AC et CE de l'onglet compétences;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sources;Tâches;Compétences;;;;;;;;;;;;Traces;Preuves
;;1;;2;;3;;4;;5;;6;;;
SAE 103;;AC;CE;AC;CE;AC;CE;AC;CE;AC;CE;AC;CE;;
;Rédiger un document technique;;CE 1, 2,4;;;AC1;;;;;;;;Notice utilisation;Justifiez en quoi les traces produites vous ont permis de monter en compétence dans la compétence x en cohérence avec l’apprentissage critique (AC) dans le respect des composantes essentielles 
;Présenter son travail à l'oral;;CE 2;;;;;;;;;;;présentation aux encadrants;Justifiez en quoi les traces produites vous ont permis de monter en compétence dans la compétence x en cohérence avec l’apprentissage critique (AC) dans le respect des composantes essentielles 
;Développer l'interface utilisateur;AC 1, 2, 4;CE 3;;;AC4;CE1;;;;;;;capture d'écran;Justifiez en quoi les traces produites vous ont permis de monter en compétence dans la compétence x en cohérence avec l’apprentissage critique (AC) dans le respect des composantes essentielles 
TP Processing;;;;;;;;;;;;;;code;Justifiez en quoi les traces produites vous ont permis de monter en compétence dans la compétence x en cohérence avec l’apprentissage critique (AC ) dans le respect des composantes essentielles 
projet personnel;;;;;;;;;;;;;;capture d'écran;Justifiez en quoi les traces produites vous ont permis de monter en compétence dans la compétence x en cohérence avec l’apprentissage critique (AC ) dans le respect des composantes essentielles 
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
